2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 9
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 27
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 32
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 26
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 45
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 39
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 43
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 10
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 37
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 30
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 17
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 8
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 41
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 49
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 38
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 0
2019-12-03 12:03:34 INFO  BlockManagerInfo:54 - Removed broadcast_3_piece0 on cssmpi1.uwb.edu:42909 in memory (size: 3.5 KB, free: 366.3 MB)
2019-12-03 12:03:34 INFO  BlockManagerInfo:54 - Removed broadcast_3_piece0 on 172.28.203.196:32977 in memory (size: 3.5 KB, free: 361.6 MB)
2019-12-03 12:03:35 INFO  TaskSetManager:54 - Finished task 1.0 in stage 3.0 (TID 7) in 240 ms on 172.28.203.196 (executor 0) (1/2)
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 22
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 15
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 19
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 44
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 28
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 13
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 16
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 7
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 6
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 40
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 5
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 11
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 25
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 23
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 47
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 24
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 42
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 2
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 4
2019-12-03 12:03:35 INFO  TaskSetManager:54 - Finished task 0.0 in stage 3.0 (TID 6) in 575 ms on 172.28.203.196 (executor 0) (2/2)
2019-12-03 12:03:35 INFO  TaskSchedulerImpl:54 - Removed TaskSet 3.0, whose tasks have all completed, from pool 
2019-12-03 12:03:35 INFO  DAGScheduler:54 - ResultStage 3 (collect at Kmeans.java:87) finished in 0.587 s
2019-12-03 12:03:35 INFO  DAGScheduler:54 - Job 2 finished: collect at Kmeans.java:87, took 0.851408 s
2019-12-03 12:03:35 INFO  BlockManagerInfo:54 - Removed broadcast_2_piece0 on cssmpi1.uwb.edu:42909 in memory (size: 2.9 KB, free: 366.3 MB)
2019-12-03 12:03:35 INFO  BlockManagerInfo:54 - Removed taskresult_6 on 172.28.203.196:32977 in memory (size: 1225.8 KB, free: 362.8 MB)
2019-12-03 12:03:35 INFO  BlockManagerInfo:54 - Removed broadcast_2_piece0 on 172.28.203.196:32977 in memory (size: 2.9 KB, free: 362.8 MB)
2019-12-03 12:03:35 INFO  SparkContext:54 - Starting job: collect at Kmeans.java:87
2019-12-03 12:03:35 INFO  DAGScheduler:54 - Registering RDD 8 (mapToPair at Kmeans.java:67)
2019-12-03 12:03:35 INFO  DAGScheduler:54 - Got job 3 (collect at Kmeans.java:87) with 2 output partitions
2019-12-03 12:03:35 INFO  DAGScheduler:54 - Final stage: ResultStage 5 (collect at Kmeans.java:87)
2019-12-03 12:03:35 INFO  DAGScheduler:54 - Parents of final stage: List(ShuffleMapStage 4)
2019-12-03 12:03:35 INFO  DAGScheduler:54 - Missing parents: List(ShuffleMapStage 4)
2019-12-03 12:03:35 INFO  DAGScheduler:54 - Submitting ShuffleMapStage 4 (MapPartitionsRDD[8] at mapToPair at Kmeans.java:67), which has no missing parents
2019-12-03 12:03:35 INFO  MemoryStore:54 - Block broadcast_5 stored as values in memory (estimated size 6.4 KB, free 366.0 MB)
2019-12-03 12:03:35 INFO  MemoryStore:54 - Block broadcast_5_piece0 stored as bytes in memory (estimated size 3.5 KB, free 366.0 MB)
2019-12-03 12:03:35 INFO  BlockManagerInfo:54 - Added broadcast_5_piece0 in memory on cssmpi1.uwb.edu:42909 (size: 3.5 KB, free: 366.3 MB)
2019-12-03 12:03:35 INFO  SparkContext:54 - Created broadcast 5 from broadcast at DAGScheduler.scala:1039
2019-12-03 12:03:35 INFO  DAGScheduler:54 - Submitting 2 missing tasks from ShuffleMapStage 4 (MapPartitionsRDD[8] at mapToPair at Kmeans.java:67) (first 15 tasks are for partitions Vector(0, 1))
2019-12-03 12:03:35 INFO  TaskSchedulerImpl:54 - Adding task set 4.0 with 2 tasks
2019-12-03 12:03:35 INFO  TaskSetManager:54 - Starting task 0.0 in stage 4.0 (TID 8, 172.28.203.196, executor 0, partition 0, PROCESS_LOCAL, 7888 bytes)
2019-12-03 12:03:35 INFO  BlockManagerInfo:54 - Removed broadcast_1_piece0 on cssmpi1.uwb.edu:42909 in memory (size: 2.5 KB, free: 366.3 MB)
2019-12-03 12:03:35 INFO  BlockManagerInfo:54 - Removed broadcast_1_piece0 on 172.28.203.196:32977 in memory (size: 2.5 KB, free: 362.8 MB)
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 36
2019-12-03 12:03:35 INFO  ContextCleaner:54 - Cleaned accumulator 18
